x,y,diameter,area
431,137,67.89160919189453,2646.0
434,138,66.91397094726562,2615.5
438,140,66.93862915039062,2602.0
443,141,67.49859619140625,2561.0
447,142,64.0903091430664,2594.5
451,144,65.93540954589844,2517.5
456,145,66.8881607055664,2589.0
461,146,66.73464965820312,2732.5
467,148,66.66419982910156,2777.0
471,151,67.27091979980469,2921.5
475,156,67.17550659179688,2769.0
476,160,64.91041564941406,2572.5
475,163,67.53863525390625,2867.0
476,168,65.27005004882812,2684.5
473,173,65.77266693115234,2615.0
471,177,68.07929229736328,2782.0
469,179,67.78267669677734,2746.0
466,181,66.32457733154297,2845.5
464,182,65.80683135986328,2623.5
460,182,67.32078552246094,2786.0
457,181,65.925048828125,2495.0
450,178,67.54855346679688,2783.5
446,178,66.61233520507812,2832.0
439,176,66.2383041381836,2779.0
431,173,66.59650421142578,2704.0
419,170,65.30206298828125,2664.5
409,167,66.0380630493164,2759.5
398,163,66.3780517578125,2756.0
387,156,66.11876678466797,2658.0
375,149,65.0010986328125,2580.0
362,144,66.39607238769531,2502.5
351,137,64.63709259033203,2692.5
339,130,66.7085189819336,2541.5
325,122,65.78189086914062,2670.0
312,116,66.88096618652344,2596.5
301,109,68.00627899169922,2650.5
289,103,68.61058807373047,2730.5
278,99,67.85601043701172,2681.5
268,95,70.18090057373047,2916.5
263,96,69.7422866821289,2952.5
260,97,71.29695129394531,2987.5
259,99,71.10635375976562,2925.5
261,102,70.74198913574219,2904.5
266,107,70.98236846923828,2995.0
273,112,70.11083221435547,2885.0
282,118,69.24456787109375,2940.5
295,125,68.6817855834961,2902.0
310,132,68.78211212158203,2852.0
327,138,68.30852508544922,2937.0
345,146,68.96804809570312,2991.5
364,154,69.90167999267578,3060.5
384,162,71.6520004272461,3223.5
407,169,71.40077209472656,3112.5
430,176,75.82235717773438,2982.5
454,183,70.16334533691406,2585.0
478,186,69.40267944335938,2387.0
499,189,70.93726348876953,2365.0
521,192,69.7219467163086,2389.5
537,192,67.67589569091797,2342.5
549,192,69.74671173095703,2458.5
559,191,70.0929946899414,2394.5
565,192,68.59320068359375,2418.5
569,193,68.993896484375,2441.5
571,197,69.35497283935547,2387.5
569,202,68.50595092773438,2492.5
567,204,68.96395874023438,2534.5
562,206,70.06547546386719,2679.5
553,205,68.79350280761719,2802.0
541,206,69.21892547607422,2760.0
526,204,70.47056579589844,2889.0
511,200,69.87471008300781,3012.0
496,195,71.49249267578125,3331.0
480,189,69.85719299316406,3029.5
461,182,70.78782653808594,3073.5
443,174,72.00714111328125,3119.0
425,166,69.87885284423828,3203.5
407,158,70.03551483154297,3128.5
388,150,68.26438903808594,3171.0
369,140,69.50188446044922,3119.5
350,130,67.28702545166016,3199.0
331,120,68.91433715820312,3168.0
313,110,71.73635864257812,3331.5
297,100,72.70184326171875,3421.0
280,92,73.624755859375,3652.5
265,85,75.40758514404297,3779.0
252,81,76.62718963623047,3734.0
243,78,74.94293975830078,3892.0
236,77,77.56733703613281,4025.0
233,79,78.19941711425781,3988.5
233,82,77.36356353759766,3887.0
237,86,78.33322143554688,4089.0
246,92,77.24919128417969,3921.5
256,96,75.58574676513672,3798.0
269,103,75.993408203125,3741.5
282,110,75.26029205322266,3627.0
299,120,74.14399719238281,3602.5
317,129,74.7330551147461,3576.5
336,138,69.72808074951172,3393.5
353,144,69.30490112304688,3362.5
370,149,71.68204498291016,3344.0
385,154,70.0282211303711,3266.0
400,158,70.26953887939453,3245.0
414,162,69.83834838867188,3140.5
426,167,69.90972900390625,3174.0
440,174,69.72074890136719,3104.0
454,179,70.01547241210938,3090.0
465,183,69.60674285888672,3053.0
474,185,69.41230773925781,3051.5
479,187,68.46768951416016,2865.5
480,188,68.62417602539062,3023.0
480,188,68.9665298461914,2921.5
475,187,68.4354476928711,3054.5
469,185,67.85944366455078,2899.5
459,181,67.42530822753906,2917.5
450,177,69.0798110961914,3094.5
440,170,69.61875915527344,3255.0
428,163,71.43030548095703,3235.0
416,156,70.56327819824219,3245.0
399,146,72.49210357666016,3262.0
381,133,72.19104766845703,3285.0
361,121,73.15097045898438,3472.5
342,108,74.19847869873047,3734.0
325,98,75.62535095214844,3909.0
307,89,80.05018615722656,4202.5
289,80,81.07389068603516,4343.5
272,70,82.04415893554688,4554.5
256,60,83.5986557006836,4738.0
242,53,85.22269439697266,4929.0
230,47,87.36724090576172,5103.5
220,42,86.4629898071289,5075.5
213,40,88.16667175292969,5202.5
211,39,88.73779296875,5074.5
211,40,87.49622344970703,5265.0
217,41,89.92198181152344,5245.0
224,45,89.61703491210938,5177.0
232,51,86.36181640625,4849.0
242,60,85.14349365234375,4729.0
255,73,82.68030548095703,4476.5
271,89,82.80116271972656,4400.5
287,104,78.63848876953125,4095.0
304,117,82.28020477294922,3958.0
320,127,76.21900939941406,3836.5
339,139,76.30074310302734,3718.0
358,152,77.1040267944336,3736.0
376,163,78.6297836303711,3695.5
392,173,77.46631622314453,3603.0
408,183,76.41575622558594,3619.0
423,191,74.23604583740234,3473.5
437,198,73.92117309570312,3491.0
449,203,73.24163055419922,3304.0
458,210,71.90469360351562,3343.0
464,214,71.48013305664062,3360.5
468,217,70.60917663574219,3299.5
469,220,69.65216064453125,3252.0
467,221,68.0699234008789,3238.5
463,220,69.8357162475586,3235.0
456,220,72.26961517333984,3388.5
446,217,71.37112426757812,3326.5
435,212,70.8425521850586,3274.5
421,207,72.8691177368164,3381.5
407,201,72.23404693603516,3318.0
389,192,73.4239730834961,3376.5
370,180,72.21714782714844,3387.0
350,167,73.98064422607422,3575.0
331,153,75.28087615966797,3677.0
311,141,75.90603637695312,3782.5
290,128,77.95260620117188,3926.0
268,115,79.95706939697266,4227.5
247,103,85.06124114990234,4655.0
227,93,87.0341796875,4883.5
209,87,89.36711120605469,5071.5
194,83,88.1226806640625,5335.0
185,82,88.73087310791016,5037.5
178,85,88.93790435791016,5130.5
177,87,89.28575897216797,5060.5
179,90,89.37580871582031,5307.5
186,93,87.49043273925781,4828.0
192,100,88.070556640625,5059.0
204,105,84.64471435546875,4770.0
219,114,85.91533660888672,4556.5
236,126,83.41986846923828,4390.5
259,139,82.97660827636719,4232.5
284,151,78.57498931884766,4012.0
307,161,77.47091674804688,3954.0
331,168,75.30545043945312,3709.5
354,176,74.961669921875,3666.0
377,182,76.13267517089844,3590.0
398,188,75.39250946044922,3578.5
418,193,74.46514129638672,3427.0
437,198,74.5399169921875,3380.0
454,202,74.33865356445312,3337.0
469,206,74.63262939453125,3362.0
480,208,74.01124572753906,3227.5
490,210,72.6644515991211,3154.0
497,212,72.59822082519531,3031.5
501,214,71.48548126220703,2952.5
501,215,71.23130798339844,2975.0
498,215,70.2175064086914,3027.5
492,214,72.12664794921875,3032.0
485,214,73.8277359008789,3243.0
477,212,72.33946990966797,3035.5
467,210,71.3511962890625,3103.0
458,205,73.11888122558594,3194.0
448,200,72.23592376708984,3290.0
434,193,70.80016326904297,3331.0
417,184,73.49849700927734,3397.5
397,178,73.041748046875,3493.0
374,171,72.44522094726562,3515.5
349,164,74.25289154052734,3574.0
324,157,73.31136322021484,3606.0
300,150,75.03382873535156,3798.5
277,142,77.12425994873047,3984.5
256,135,77.90901947021484,4199.5
237,130,79.4146499633789,4374.5
221,125,80.47630310058594,4508.0
208,123,81.40567779541016,4626.0
200,121,81.20377349853516,4603.5
197,121,81.28160095214844,4647.5
198,122,82.11424255371094,4615.0
204,125,82.71182250976562,4432.0
215,129,82.3316421508789,4312.5
229,134,80.10047149658203,4049.0
247,139,79.0255126953125,3829.5
267,144,78.74687194824219,3647.5
289,150,75.21322631835938,3403.0
314,157,74.63262939453125,3252.0
339,165,71.78876495361328,2997.5
362,171,71.40048217773438,3022.5
382,175,68.89254760742188,2915.5
400,179,68.60055541992188,2919.5
418,183,70.76742553710938,2767.0
433,188,72.06396484375,2987.5
450,194,71.120361328125,2907.5
465,199,70.86224365234375,3118.5
480,203,70.96221923828125,3039.5
495,209,72.36731719970703,3243.0
507,211,72.61882781982422,3160.0
516,213,74.23873901367188,3173.0
525,215,70.5057601928711,2962.5
529,218,72.47087860107422,3149.0
531,217,70.86763000488281,3095.5
530,219,72.14591217041016,2942.0
524,221,72.00714111328125,3028.5
516,222,70.66223907470703,2995.0
504,223,71.91560363769531,3098.0
490,220,73.57532501220703,3174.5
475,217,72.00714111328125,3125.5
457,212,70.1719970703125,3000.0
435,205,69.90350341796875,2972.5
412,197,69.06641387939453,2820.5
386,189,67.3223648071289,2900.5
361,182,69.85100555419922,2921.5
332,174,72.29643249511719,3078.5
306,166,73.25875854492188,3382.5
281,157,76.71063232421875,3574.5
258,149,76.77953338623047,3980.0
239,142,81.2515869140625,4265.5
223,137,80.49388885498047,4435.5
212,135,81.7762680053711,4651.5
209,137,83.09124755859375,4708.0
212,142,85.07664489746094,4657.5
223,150,86.70250701904297,4631.5
239,160,87.3150863647461,4550.5
265,170,86.82825469970703,4361.5
296,178,83.9329833984375,4158.0
334,186,81.34611511230469,4183.0
374,191,96.7472915649414,4459.0
416,196,101.00019836425781,4573.5
458,200,89.92790222167969,4619.5
